#cave snowcave

#data_order L Az An
#from_to 
#walls_from


% ZZZ топсъемка тронного зала
%#equate metro16msu.105 tron16msu.5

#survey ^tron16msu
#survey_title Тронный 2016 МГУ, съемка зизагом для построения поверхности
#survey_team Ковешников П. Янина А.
#survey_date 09,10 января 2016 г. 


64 - 22 - 90
64 - 0.5 - -90

65 66 21.9 182 -18.5
65 - 13 188 -36.9
65 - 28 - 90
65 - 0.8 - -90

66 67 22.5 168 12.1
66 - 38 - 90
66 - 0.35 - -90

67 68 8.88 196 -2.4
67 - 34.4 - 90
67 - 0.6 - -90

68 69 25.84 231 8.6 #ztn #red #com "питерский" водокап, около 17 пикета Дегтярева %Z
68 - 9.8 229 -7.6
68 - 32.7 - 90
68 - 0.4 - -90

69 70 30 359 -14.8 
69 - 5 213 -19.6
69 - 15 348 -24
69 - 20 - 90
69 - 0.4 - -90

70 71 23.8 34 9.7 
70 - 10 195 5.7
70 - 4.8 35 -44
70 - 15.7 35 -2.3
70 - 31.6 - 90
70 - 1.7 - -90

71 72 25 6 0 #ztn #red
71 - 0 0 0
71 - 9.8 40 -5.5
71 - 18 10 -16.8
71 - 28.4 - 90

72 73 22.6 227 -9.8 
72 - 6.7 5 23.5
72 - 4.7 225 -25.7
72 - 22 - 90
72 - 0.8 - -90

73 74 19.3 200 -12.2
73 - 12.2 42 -16
73 - 26.4 - 90
73 - 0.5 - -90

74 75 17.87 206 -7.3
74 - 6 210 -31
74 - 28.7 - 90
74 - 0.8 - -90

75 YK2 11.5 215 -21.5 #ztn #red 
75 - 9 215 -31.6
75 - 22 - 90
75 - 0.5 - -90

YK2 77 11 348 5.1 %Z #com 16 пикет Дегтярева 
YK2 - 8 - 90
YK2 - 1.5 - -90

77 78 5.4 29 3.7 
77 - 4.4 210 -32
77 - 9.7 210 64
77 - 18.8 - 90
77 - 0.88 - -90

78 79 30.9 24 8.7
78 - 4 45 -48
78 - 14 25 -9.2
78 - 31.8 30 56.2
78 - 19.7 - 90
78 - 1.2 - -90

79 80 11.8 342 -16.8 #ztn #red
79 - 26.3 - 90
79 - 0.8 - -90

80 81 15.13 230 -13.2 
80 - 17 330 -20
80 - 17.56 330 22
80 - 24 - 90
80 - 1 - -90

81 82 15.7 207 -21.7 #ztn #red
81 - 22 - 90
81 - 0.5 - -90

82 83 12.6 338 -13.9
82 - 5.5 230 -18
82 - 16 230 74
82 - 18 - 90
82 - 0.5 - -90

83 84 9 342 11.9
83 - 4.7 230 -53
83 - 9.3 240 50.3
83 - 20.5 - 90
83 - 0.5 - -90

84 85 13.87 44 2.7
84 - 3.76 270 -7
84 - 10 - 90
84 - 0.5 - -90

85 86 4.8 45 4 #ztn #red
85 - 12.2 280 -10.2
85 - 16 - 90
85 - 0 - -90
85 - 14.3 275 53.5
85 - 9 0 -18.2
85 - 13.4 0 58

86 D14 10.5 279 -10.4 #com 14й пикет Дегтярева
86 - 9 45 14.4
86 - 13 25 71
86 - 13.7 - 90
86 - 0.5 - -90

#end_convex_surf
#end_z_survvey
#end_survey

